0,15,0
0,15,15
0,15,30
0,30,0
0,30,15
0,30,30
0,45,0
0,45,15
0,45,30
0,60,0
0,60,15
0,60,30
0,75,0
0,75,15
0,75,30
0,90,0
0,90,15
0,90,30
0,105,0
0,105,15
0,105,30
7.5,22.5,7.5
7.5,22.5,22.5
7.5,37.5,7.5
7.5,37.5,22.5
7.5,52.5,7.5
7.5,52.5,22.5
7.5,67.5,7.5
7.5,67.5,22.5
7.5,82.5,7.5
7.5,82.5,22.5
7.5,97.5,7.5
7.5,97.5,22.5
15,0,0
15,0,15
15,0,30
15,15,0
15,15,15
15,15,30
15,30,0
15,30,15
15,30,30
15,45,0
15,45,15
15,45,30
15,60,0
15,60,15
15,60,30
15,75,0
15,75,15
15,75,30
15,90,0
15,90,15
15,90,30
15,105,0
15,105,15
15,105,30
15,120,0
15,120,15
15,120,30
22.5,7.5,7.5
22.5,7.5,22.5
22.5,22.5,7.5
22.5,22.5,22.5
22.5,37.5,7.5
22.5,37.5,22.5
22.5,52.5,7.5
22.5,52.5,22.5
22.5,67.5,7.5
22.5,67.5,22.5
22.5,82.5,7.5
22.5,82.5,22.5
22.5,97.5,7.5
22.5,97.5,22.5
22.5,112.5,7.5
22.5,112.5,22.5
30,0,0
30,0,15
30,0,30
30,15,0
30,15,15
30,15,30
30,30,0
30,30,15
30,30,30
30,45,0
30,45,15
30,45,30
30,60,0
30,60,15
30,60,30
30,75,0
30,75,15
30,75,30
30,90,0
30,90,15
30,90,30
30,105,0
30,105,15
30,105,30
30,120,0
30,120,15
30,120,30
37.5,7.5,7.5
37.5,7.5,22.5
37.5,22.5,7.5
37.5,22.5,22.5
37.5,37.5,7.5
37.5,37.5,22.5
37.5,52.5,7.5
37.5,52.5,22.5
37.5,67.5,7.5
37.5,67.5,22.5
37.5,82.5,7.5
37.5,82.5,22.5
37.5,97.5,7.5
37.5,97.5,22.5
37.5,112.5,7.5
37.5,112.5,22.5
45,0,0
45,0,15
45,0,30
45,15,0
45,15,15
45,15,30
45,30,0
45,30,15
45,30,30
45,45,0
45,45,15
45,45,30
45,60,0
45,60,15
45,60,30
45,75,0
45,75,15
45,75,30
45,90,0
45,90,15
45,90,30
45,105,0
45,105,15
45,105,30
45,120,0
45,120,15
45,120,30
52.5,7.5,7.5
52.5,7.5,22.5
52.5,22.5,7.5
52.5,22.5,22.5
52.5,37.5,7.5
52.5,37.5,22.5
52.5,52.5,7.5
52.5,52.5,22.5
52.5,67.5,7.5
52.5,67.5,22.5
52.5,82.5,7.5
52.5,82.5,22.5
52.5,97.5,7.5
52.5,97.5,22.5
52.5,112.5,7.5
52.5,112.5,22.5
60,0,0
60,0,15
60,0,30
60,15,0
60,15,15
60,15,30
60,30,0
60,30,15
60,30,30
60,45,0
60,45,15
60,45,30
60,60,0
60,60,15
60,60,30
60,75,0
60,75,15
60,75,30
60,90,0
60,90,15
60,90,30
60,105,0
60,105,15
60,105,30
60,120,0
60,120,15
60,120,30
67.5,7.5,7.5
67.5,7.5,22.5
67.5,7.5,37.5
67.5,22.5,7.5
67.5,22.5,22.5
67.5,22.5,37.5
67.5,37.5,7.5
67.5,37.5,22.5
67.5,37.5,37.5
67.5,52.5,7.5
67.5,52.5,22.5
67.5,52.5,37.5
67.5,67.5,7.5
67.5,67.5,22.5
67.5,67.5,37.5
67.5,82.5,7.5
67.5,82.5,22.5
67.5,97.5,7.5
67.5,97.5,22.5
67.5,112.5,7.5
67.5,112.5,22.5
75,0,0
75,0,15
75,0,30
75,0,45
75,0,60
75,0,75
75,15,0
75,15,15
75,15,30
75,15,45
75,15,60
75,15,75
75,30,0
75,30,15
75,30,30
75,30,45
75,30,60
75,30,75
75,45,0
75,45,15
75,45,30
75,45,45
75,45,60
75,45,75
75,60,0
75,60,15
75,60,30
75,60,45
75,60,60
75,75,0
75,75,15
75,75,30
75,75,45
75,90,0
75,90,15
75,90,30
75,105,0
75,105,15
75,105,30
75,120,0
75,120,15
75,120,30
82.5,7.5,7.5
82.5,7.5,22.5
82.5,7.5,37.5
82.5,7.5,52.5
82.5,7.5,67.5
82.5,22.5,7.5
82.5,22.5,22.5
82.5,22.5,37.5
82.5,22.5,52.5
82.5,22.5,67.5
82.5,37.5,7.5
82.5,37.5,22.5
82.5,37.5,37.5
82.5,37.5,52.5
82.5,37.5,67.5
82.5,52.5,7.5
82.5,52.5,22.5
82.5,52.5,37.5
82.5,52.5,52.5
82.5,52.5,67.5
82.5,67.5,7.5
82.5,67.5,22.5
82.5,67.5,37.5
82.5,67.5,52.5
82.5,82.5,7.5
82.5,82.5,22.5
82.5,82.5,37.5
82.5,97.5,7.5
82.5,97.5,22.5
82.5,112.5,7.5
82.5,112.5,22.5
90,0,0
90,0,15
90,0,30
90,0,45
90,0,60
90,0,75
90,15,0
90,15,15
90,15,30
90,15,45
90,15,60
90,15,75
90,30,0
90,30,15
90,30,30
90,30,45
90,30,60
90,30,75
90,45,0
90,45,15
90,45,30
90,45,45
90,45,60
90,45,75
90,60,0
90,60,15
90,60,30
90,60,45
90,60,60
90,75,0
90,75,15
90,75,30
90,75,45
90,90,0
90,90,15
90,90,30
90,105,0
90,105,15
90,105,30
90,120,0
90,120,15
90,120,30
97.5,7.5,7.5
97.5,7.5,22.5
97.5,7.5,37.5
97.5,7.5,52.5
97.5,7.5,67.5
97.5,22.5,7.5
97.5,22.5,22.5
97.5,22.5,37.5
97.5,22.5,52.5
97.5,22.5,67.5
97.5,37.5,7.5
97.5,37.5,22.5
97.5,37.5,37.5
97.5,37.5,52.5
97.5,37.5,67.5
97.5,52.5,7.5
97.5,52.5,22.5
97.5,52.5,37.5
97.5,52.5,52.5
97.5,52.5,67.5
97.5,67.5,7.5
97.5,67.5,22.5
97.5,67.5,37.5
97.5,67.5,52.5
97.5,82.5,7.5
97.5,82.5,22.5
97.5,82.5,37.5
97.5,97.5,7.5
97.5,97.5,22.5
97.5,112.5,7.5
97.5,112.5,22.5
105,0,0
105,0,15
105,0,30
105,0,45
105,0,60
105,0,75
105,15,0
105,15,15
105,15,30
105,15,45
105,15,60
105,15,75
105,30,0
105,30,15
105,30,30
105,30,45
105,30,60
105,30,75
105,45,0
105,45,15
105,45,30
105,45,45
105,45,60
105,45,75
105,60,0
105,60,15
105,60,30
105,60,45
105,60,60
105,75,0
105,75,15
105,75,30
105,75,45
105,90,0
105,90,15
105,90,30
105,105,0
105,105,15
105,105,30
105,120,0
105,120,15
105,120,30
112.5,7.5,7.5
112.5,7.5,22.5
112.5,7.5,37.5
112.5,22.5,7.5
112.5,22.5,22.5
112.5,22.5,37.5
112.5,37.5,7.5
112.5,37.5,22.5
112.5,37.5,37.5
112.5,52.5,7.5
112.5,52.5,22.5
112.5,52.5,37.5
112.5,67.5,7.5
112.5,67.5,22.5
112.5,67.5,37.5
112.5,82.5,7.5
112.5,82.5,22.5
112.5,97.5,7.5
112.5,97.5,22.5
112.5,112.5,7.5
112.5,112.5,22.5
120,0,0
120,0,15
120,0,30
120,15,0
120,15,15
120,15,30
120,30,0
120,30,15
120,30,30
120,45,0
120,45,15
120,45,30
120,60,0
120,60,15
120,60,30
120,75,0
120,75,15
120,75,30
120,90,0
120,90,15
120,90,30
120,105,0
120,105,15
120,105,30
120,120,0
120,120,15
120,120,30
127.5,7.5,7.5
127.5,7.5,22.5
127.5,22.5,7.5
127.5,22.5,22.5
127.5,37.5,7.5
127.5,37.5,22.5
127.5,52.5,7.5
127.5,52.5,22.5
127.5,67.5,7.5
127.5,67.5,22.5
127.5,82.5,7.5
127.5,82.5,22.5
127.5,97.5,7.5
127.5,97.5,22.5
127.5,112.5,7.5
127.5,112.5,22.5
135,0,0
135,0,15
135,0,30
135,15,0
135,15,15
135,15,30
135,30,0
135,30,15
135,30,30
135,45,0
135,45,15
135,45,30
135,60,0
135,60,15
135,60,30
135,75,0
135,75,15
135,75,30
135,90,0
135,90,15
135,90,30
135,105,0
135,105,15
135,105,30
135,120,0
135,120,15
135,120,30
142.5,7.5,7.5
142.5,7.5,22.5
142.5,22.5,7.5
142.5,22.5,22.5
142.5,37.5,7.5
142.5,37.5,22.5
142.5,52.5,7.5
142.5,52.5,22.5
142.5,67.5,7.5
142.5,67.5,22.5
142.5,82.5,7.5
142.5,82.5,22.5
142.5,97.5,7.5
142.5,97.5,22.5
142.5,112.5,7.5
142.5,112.5,22.5
150,0,0
150,0,15
150,0,30
150,15,0
150,15,15
150,15,30
150,30,0
150,30,15
150,30,30
150,45,0
150,45,15
150,45,30
150,60,0
150,60,15
150,60,30
150,75,0
150,75,15
150,75,30
150,90,0
150,90,15
150,90,30
150,105,0
150,105,15
150,105,30
150,120,0
150,120,15
150,120,30
157.5,7.5,7.5
157.5,7.5,22.5
157.5,22.5,7.5
157.5,22.5,22.5
157.5,37.5,7.5
157.5,37.5,22.5
157.5,52.5,7.5
157.5,52.5,22.5
157.5,67.5,7.5
157.5,67.5,22.5
157.5,82.5,7.5
157.5,82.5,22.5
157.5,97.5,7.5
157.5,97.5,22.5
157.5,112.5,7.5
157.5,112.5,22.5
165,0,0
165,0,15
165,0,30
165,15,0
165,15,15
165,15,30
165,30,0
165,30,15
165,30,30
165,45,0
165,45,15
165,45,30
165,60,0
165,60,15
165,60,30
165,75,0
165,75,15
165,75,30
165,90,0
165,90,15
165,90,30
165,105,0
165,105,15
165,105,30
165,120,0
165,120,15
165,120,30
172.5,22.5,7.5
172.5,22.5,22.5
172.5,37.5,7.5
172.5,37.5,22.5
172.5,52.5,7.5
172.5,52.5,22.5
172.5,67.5,7.5
172.5,67.5,22.5
172.5,82.5,7.5
172.5,82.5,22.5
172.5,97.5,7.5
172.5,97.5,22.5
180,15,0
180,15,15
180,15,30
180,30,0
180,30,15
180,30,30
180,45,0
180,45,15
180,45,30
180,60,0
180,60,15
180,60,30
180,75,0
180,75,15
180,75,30
180,90,0
180,90,15
180,90,30
180,105,0
180,105,15
180,105,30
